      
0.001173878088 39.50210952 0.001202831161 60.54160308 .80522508547e- .35563945 1.33489393193e-
22.6431274 243.2947540 22.3614120 01.296752 150.7036590 65.4989166 .7992007732
8.38920593 37.1159667 8.07157897 30.0179901 3.587646484 8.41894149 .954669833
6.80413436 09.9537963 4.44867134 60.7225952 0.3094577789 3.8981094 .316240906
16.1988830 41.1651611 22.4200134 9.06974792 9.964244842 9.89370346 .739756107
79.2407379 7.01528930 86.2982482 .387477874 9.804788589 .933050155 .235278129
.036111831 85.58325958 .047266960 40.05076599 .682252883 .606095075 .7866591215
61.8278198 99.71797943 75.3118286 69.98071289 21.68278694 11.32085800 .558320522
05.8410034 58.4234619 02.4437561 33.76625823 27.6230010 37.99317169 13.93652153
12.2347106 240.4817810 14.2888183 154.7096557 44.32960510 13.63826560 .08035340905
87.1799926 535.9510498 74.8168945 299.3081054 63.28657150 46.87644195 .635030269
4.20680236 598.582153 1.59671401 250.6850585 17.94337463 39.93067932 .2352816611
65.3907775 476.0432128 49.4025878 170.8018188 19.43878364 26.88287734 .68972897
67.1495361 357.5682067 48.2680053 73.53705596 25.83842468 1.394753098 .906191349
3.19583511 328.4127807 1.74064636 .383879661 7.683727741 0.6740155220 .8422979116
190.4754943 301.6177978 183.5856628 1.69135284 2.90782165 0.09664183855 1.284087657
21.67667770 250.3995361 3.742127656 1.19324874 .7113905549 1.464691400 .5638640522
121.6300048 241.1846313 98.69530487 7.325134277 .124817848 745.4002685 250.2623901
195.1530303 175.4357910 168.8196411 2.09152221 .0689830 1000 254.1929626
333.2612304 153.5223693 296.813507 6.553806304 8.72422027 579.4316406 188.4259185
188.9774169 167.8747406 161.8597869 2.571432113 6.30874776 1000 223.9926605
61.99308013 137.6752319 41.77179336 14.28531932 17.80301475 1000 209.4987945
295.267395 102.4178161 264.3291931 22.35868453 .481980323 998.7674560 201.4553527
146.7296600 99.92491912 123.1223983 36.3418350 8.245514869 1000 185.0163879
409.1011962 55.11274337 375.3423461 49.68748474 7.41791915 967.0697021 181.0780181
458.0239562 11.80330753 425.0169982 64.0801162 5.20299148 974.4216308 162.0286712
44.21396255 74.5535278 32.34172058 68.3368072 11.22459411 970.3104248 119.1649856
507.0922241 .185408115 479.3572082 66.47850799 1.61384201 956.0983886 94.28671264
62.14907073 50.15692901 51.51281356 55.02467346 1.79211616 967.1070556 166.1116638
8.309148788 102.8657073 6.118705272 61.45846557 8.386110305 897.0100097 50.26955413
77.98515319 80.08512878 73.42824554 59.96051788 2.652163982 887.521301 23.71483230
8.17716979 99.64865875 7.78335571 55.7128524 14.76286506 890.4646606 .274613380
09.4680938 107.428176 04.9578399 57.70825958 16.90669441 894.1533203 8.32677841
3.61433029 92.76194000 1.87770843 58.9646301 7.50909185 894.2124023 6.46749114
39.8054809 103.2663879 36.9258422 59.26644515 18.97249984 896.5946044 6.63500976
5.28925323 103.2549896 1.60311889 54.98983764 12.20026683 894.3741455 0.27143859
2.3322448 86.12052917 2.10945129 64.66571807 8.368700027 893.3112792 2.0334930
6.45425415 83.27381896 7.69392395 62.96453857 6.522645950 891.8044433 02.043472
7.70737075 82.22760772 9.74456787 61.70833587 5.272704124 890.2490234 10.5471191
2.09211730 81.61325836 4.6306953 60.82021331 4.308619022 888.7158203 17.7714996
8.03401947 81.10029602 0.92565155 60.19628906 3.51729321 887.2691650 23.8931579
4.88543128 80.64909362 8.04860687 59.7391510 2.84406566 885.9165039 29.0756835
2.33934211 80.23413848 5.72142124 59.41088867 2.264950275 884.6630859 33.4528961
0.24178886 79.88610839 3.8049011 59.12562179 1.765856862 883.437622 37.1398925
.491552352 79.52721405 2.20472908 58.99344635 1.338879942 882.347778 40.2476501
.027707576 79.23284912 0.86774253 58.86588287 0.9705843329 881.359497 42.863662
.797739028 78.97708892 .746789932 58.77749252 0.6530473828 880.4343261 45.059600
