      
0.001173878088 39.50210952 0.001202831161 60.54160308 .80522508547e- .35563945 1.33489393193e-
235.4523620 000 132.6250915 578.1535034 12.1017150 37.0093536 2.96233272
392.0626831 39.4326782 371.1285095 65.7896728 5.15938568 2.34392166 0.4738302826
309.5695190 486.4113159 271.0451965 192.7280426 5.0129661 26.90460968 .3392711877
165.0334777 943.0382690 130.0187988 430.1201171 66.63150024 46.11055755 .2020172327
580.0757446 929.0831298 478.3168334 474.1032714 57.64477157 56.50402450 3.499604225
86.91593933 921.1266479 39.46175003 425.049011 39.6966476 39.96703338 .1434266567
140.5757446 786.0837402 90.86715698 364.8489990 40.42994689 35.4583663 1.393542647
463.2980346 584.8776245 353.0526123 311.9598388 36.91587448 36.9622230 4.404621124
385.7185974 479.5433044 280.1763305 247.1501464 19.01194190 27.37987899 3.545383930
586.3536376 351.8463439 444.7052307 206.5435791 26.70897674 26.5376892 6.188192367
514.4165649 428.3005981 385.8421630 224.7213287 22.394531 49.90245056 5.835624694
162.8244018 591.7496948 88.73218536 240.6111602 .35797882 36.75933837 0.9904296398
8.01023101 760.5003662 5.06595611 280.9558715 7.785038948 34.31455230 0.4427290260
46.9871826 778.4771118 55.4893951 234.7857513 1.788853526 20.1222209 .082896947
03.9430541 464.0441894 36.490173 67.10309600 7.704793453 .360347032 .433321475
64.0911254 179.6352539 2.95633697 .8497109413 71.8490295 .120920658 4.539519
48.0212402 22.28226280 99.9565734 7.5277976 8.972214698 3.914976 1.053976774
24.4001770 5.66062927 80.8970642 8.03587722 9.426522254 2.46066474 0.8581898212
61.4864501 92.056579 47.4692687 4.694101333 7.26989746 2.5516071 .172651290
02.6254577 70.8444213 02.1169433 2.307651042 .03447484 .940601348 .317745685
72.2814331 20.437377 02.8790588 0.39696598 5.86450004 .615472793 .072917938
95.4424743 80.8310546 39.4867858 8.48368453 9.02844619 0.160659 .448892593
68.3970947 64.804565 3.33599853 5.71223068 20.86953735 .804651737 1.189533352
38.8940124 70.1398620 02.4569931 3.54775238 9.53507995 .162012100 .952963829
18.00927162 3.14417266 10.74518203 0.60940361 3.974050998 .873286247 0.8416337370
76.79393768 41.87975311 41.31366348 .2866468429 .1601560115 .362256050 0.8637665510
95.44706726 96.53482055 50.83459854 15.75713920 .844375610 .876420736 0.7907351255
33.53327941 100.7491760 3.113578081 29.85726928 5.98688316 .498665332 .7747225761
105.0008316 134.1362609 73.93157958 43.1707153 15.77935218 0.7222096920 2.174620628
50.40394592 130.8823547 28.46575927 49.8563385 .291129350 0.5426433682 0.426173806
24.45597648 115.7259521 15.74173259 53.68089294 .1624448448 0.5771430134 0.319096863
4.012194633 99.62551879 5.738722324 55.0203628 0.7126709818 0.4533035159 0.2318850308
.104165077 86.14990997 .7225289344 54.64698028 1.221244931 0.263851404 0.1654255688
5.21708297 76.78854370 .812170982 53.31021118 1.398814082 0.07244849205 0.1195994168
5.93647003 71.58351135 .316762924 51.66973876 1.31321096 .07426818460 0.08831117302
3.28357315 69.80753326 .189624786 50.13997268 1.081687808 .1726733893 0.06983128190
.136715888 70.40808868 .322060108 48.98724365 0.7956980466 .223781928 0.05955027788
.915371894 72.27371978 0.6057831048 48.31730651 0.5162829756 .228651911 0.05229332298
.481950521 74.48237609 2.177879095 48.07261657 0.2811104655 .1927907764 0.04411436617
0.82734221 76.68452453 3.261081695 48.16693115 0.1395934671 .1774157285 0.04274664074
1.983936667 78.2427673 3.786385059 48.50052261 0.02836709283 .1083464771 0.03340719640
2.266174077 79.40052032 3.932532310 48.91310119 0.0007754610851 .08563165366 0.03034929186
1.954849958 80.11347961 3.799849987 49.35797119 0.0007514306344 .06132276356 0.02588358148
1.352601051 80.30065917 3.514811515 49.74790191 .46646726131e- .01508004590 0.01896940916
0.7208387851 80.57801818 3.246112346 50.04024124 0.04419574514 .04746285453 0.01797713898
0.1779555082 80.12458801 2.962670803 50.26581954 0.01958156004 0.0444564484 0.009402485564
.1985366344 80.10613250 2.800960302 50.30266571 0.05410455167 .01067031733 0.009604016318
.3772886395 79.70130920 2.698980808 50.3512725 0.03914192318 0.04598014801 0.005268400069
