      
0.001173878088 39.50210952 0.001202831161 60.54160308 .80522508547e- .35563945 1.33489393193e-
85.5720214 000 3.72936248 578.4190063 86.68212890 37.5854949 0.3993284106
41.8869628 97.8828735 20.3227844 19.4998168 27.05761528 1.26935577 .507851600
42.4769287 4.06680297 92.7752990 3.85729217 26.0344505 2.174165248 .145208597
52.6392211 542.2855224 06.2614059 239.7686767 13.39450836 27.09899902 0.9870610237
8.86442565 769.0042114 6.16845321 354.1560668 2.414224863 36.07411193 0.95436334
7.85030364 809.3492431 0.42488098 381.7984008 .606364727 36.99430847 0.5291154384
53.6029052 588.9110717 84.5263061 357.4317626 4.34511947 39.53666687 .214172840
11.0981445 532.8156127 71.7538146 296.5731201 .599616050 31.45471572 .970603704
27.0332031 478.5150146 17.8008117 244.4241943 7.06687736 26.41884803 .472013950
1.7734756 485.6835021 1.01387786 204.8536071 0.16246604 19.24735260 .6868205666
288.035034 564.3523559 216.2250976 179.5165863 .301733016 12.0072708 1.735483407
327.4615478 549.1279296 190.8178558 166.516754 1.74514579 18.09345245 .3621579110
347.0554199 485.3384094 209.2920684 154.5490722 6.3542213 21.56608390 0.7182887792
521.7542724 458.116180 328.968627 132.4385528 9.3427104 13.65695190 3.795419931
384.8855590 371.7737426 195.1326446 107.9202880 8.69565582 12.82011795 0.4175025820
215.1818084 172.3386230 89.63419342 4.455146789 7.21646499 0.1742390692 .6673529744
100.8908615 01.2852172 25.92638778 07.4600296 1.67561340 1.01070213 .9816058874
334.8937683 82.448211 190.3358917 52.3708190 35.68195343 9.64530944 4.456094741
192.4891052 21.0484619 66.33460998 52.0760803 .715336799 7.02427673 0.2821394801
110.6110382 05.7040710 34.0477447 27.3051757 .5356174707 4.1517171 0.1407537609
45.95386505 56.1383361 11.26215362 0.87843322 0.2677235305 0.385301 .003003045916
4.07886028 3.17614746 .040623188 2.73143005 0.6973865628 .720110416 .06698055565
7.08467674 1.13915443 .65591382 8.95820999 0.836523175 .661580562 .07597871124
2.68698883 21.66392898 .598750114 7.556215763 0.7831809520 .393491387 .05515850335
8.62619018 61.70399093 .344463825 26.23787307 0.6265209913 0.1095930337 .02397945895
0.14705467 88.8320693 .5909521579 37.95045471 0.4331786930 0.9832303524 0.004795700311
.122349739 104.880676 1.708309888 44.23677062 0.2472275197 1.406902313 0.02476416714
6.124453544 112.5909194 3.179534435 46.79700469 0.09321011602 1.546634554 0.03456413373
10.62228012 114.8044662 3.818250656 47.14882278 .02140319347 1.542132377 0.03555159270
12.36604309 113.987655 3.810640811 46.46809387 .09790652990 1.488437891 0.03058661893
11.94261932 111.9891815 3.403956413 45.54294586 .143387734 1.441902399 0.0225323513
10.15943908 109.9984054 2.822678565 44.81132125 .1664323955 1.427511930 0.01387341320
7.788805961 108.6460266 2.231873273 44.44995117 .1737922728 1.449961900 0.006258413195
5.431019783 108.1393890 1.727118015 44.46775817 .1727495938 1.502192735 0.0004743784666
3.463572978 108.4236755 1.348672866 44.78034210 .1666612178 1.5716009 .003225062042
2.035839796 109.2776336 1.091722249 45.2605590 .1597923636 1.645818471 .005261037498
1.156963229 110.4573364 0.9360215663 45.7974548 .1528702974 1.716371417 .005991805344
0.7248145341 111.7261505 0.84971845 46.30104064 .1463580876 1.777453660 .005861390382
0.6044074296 112.9252624 0.803565800 46.71801757 .1413359642 1.826067805 .005413819104
0.6634270548 113.9529113 0.7772012352 47.0274314 .1364907324 1.863134622 .004784502089
0.7790119647 114.7693634 0.7522066831 47.22843170 .1335335522 1.88858723 .004383400082
0.8824572563 115.3704299 0.7240079641 47.33459854 .1305315941 1.905647873 .004125215113
0.9352543354 115.7859649 0.6898401379 47.36792755 .1277091056 1.917749524 .004011474549
0.924105048 116.0545425 0.6498869657 47.34732055 .1250726133 1.924740314 .004048544913
0.8682968616 116.2284164 0.6083550453 47.29530715 .122145891 1.929269313 .004154127091
0.7763642072 116.3281326 0.5671784281 47.21994781 .1182997822 1.93132233 .004180649295
0.6735705137 116.4006042 0.5284376740 47.14067077 .1142166703 1.933461070 .00418679416
0.574261605 116.4540557 0.4919892549 47.05665969 .1103967726 1.93356037 .004205297678
