      
0.001173878088 39.50210952 0.001202831161 60.54160308 .80522508547e- .35563945 1.33489393193e-
83.5316162 000 1.52280426 578.3807373 122.2937698 37.3268585 12.88417243
6.52222442 000 0.13989257 69.9426269 8.20010757 8.70648193 1.069104552
76.5877380 74.4967041 53.6713867 19.1370391 .925608634 9.69619750 0.3384898006
13.2991638 410.0654602 59.6508789 175.2268524 .552729606 49.07355880 .0420426577
34.2122802 820.439514 91.9606628 436.8587036 .278573036 68.3334045 .457652568
90.6649780 962.6801757 31.335311 509.3152465 .602945327 67.18195343 .745522856
65.607360 814.2369384 30.7413635 487.6322021 0.7650012 60.46171569 .589800834
78.9008483 848.1437988 7.08653640 418.9249877 1.244991540 49.02328109 .109533786
05.0427856 717.6358642 2.72686767 346.1809692 0.90295791 39.9667968 .68183183
52.5024566 513.8378906 2.31435394 212.6567382 1.23736953 23.52274513 .218958854
02.4742431 0.89768981 87.5670471 7.59297180 0.89364624 .120133399 .2137222
121.8111419 9.63149261 85.22220611 58.5010681 20.70513534 6.41577148 0.9293738007
297.2197265 17.75960922 127.0715255 68.4203186 4.08536720 8.07156562 .5610147714
515.5783081 98.33013916 284.8804016 38.9296569 0.0924494266 4.22760963 2.195455312
583.7241821 162.708923 322.1263732 7.37984466 .02758008241 .846416473 2.672959089
584.921997 199.105346 329.6304626 8.21048736 5.077028274 .697992324 3.039700508
435.13558 189.5928344 222.2938842 7.87787055 0.70838546 .534954071 1.369267463
123.4874801 107.5214309 25.56893157 5.523535728 9.38766098 .938559532 .310681223
247.6332092 141.8316192 168.003784 28.78180694 30.83009910 .8778938055 2.781814813
155.523559 158.6991577 87.14046478 41.57224273 1.245626807 .284100532 0.7366830110
81.89271545 138.0278320 46.96949768 54.38333129 0.2694316506 .9008541107 0.3242737054
33.77576446 125.3035202 24.14374923 59.09611129 1.705229759 .8946597576 0.1800575256
4.704454898 118.175399 9.546856880 62.31861495 1.719421505 .8944762945 0.05248757451
.676171541 116.259323 7.247077465 64.49450683 2.817421436 .7480717897 0.0878546163
.124376773 117.7709274 5.457707405 65.92666625 1.718123674 .6665254831 0.03134546428
.151661396 120.5224151 7.014385223 66.91188049 1.138316154 .5688296556 0.02760322205
4.063698291 123.6237106 9.157966613 67.70637512 0.6019666790 .471579074 0.02981464937
8.47869396 126.264869 10.972656 68.44337463 0.1914308518 .36465305 0.03127812594
11.1475677 128.3248901 12.04511070 69.12586212 .07879649847 .2989365756 0.03315348178
12.02366447 129.6319885 12.35323143 69.82364654 .2176628410 .2315789163 0.03168147802
11.44037437 130.3656616 12.04248428 70.48820495 .2599377632 .188861668 0.02881491184
9.97918415 130.5354309 11.36077499 71.1147308 .2388929575 .1341886967 0.02360848337
8.092163085 130.571319 10.50705909 71.63287353 .1910035312 .1228628158 0.0195715576
6.228818893 130.2911376 9.667928695 72.11647033 .1336061358 .07545229792 0.01412955671
4.580745697 130.1363220 8.931804656 72.4536666 .08375912904 .07497572153 0.01085742190
3.285170078 130.0380401 8.35596275 72.76260375 .04759807139 .06659351289 0.007978302426
2.358536720 129.9597778 7.943389892 73.00357055 .02425420284 .05183063074 0.005717774853
1.743763446 129.8788452 7.665854454 73.19145202 .01247931644 .03311631828 0.003994335420
