      
0.001173878088 39.50210952 0.001202831161 60.54160308 .80522508547e- .35563945 1.33489393193e-
65.4732055 000 66.275451 580.035156 59.67473220 37.1386566 .80964088
75.3835754 000 61.7998657 67.447082 31.71210670 6.87337875 .878891944
61.3325805 19.4426269 30.0801696 46.1938934 23.8591728 2.18701934 .9294134378
57.7248840 95.6587524 06.353332 13.3752365 15.2393236 .63240957 .12694418
68.5706176 6.94307327 13.244079 1.04565429 8.148899078 1.553131699 .6826229095
7.62725448 56.08587646 1.16617393 4.13534164 1.719616293 3.614176511 0.6079030036
1.43421936 84.42134094 2.54651641 1.30571937 .988883495 4.533777236 .2040421366
150.565780 110.5258102 108.2729187 .86813068 .843582153 3.476095676 1.274920105
110.5317077 595.1720581 51.69146728 201.5254364 9.57566452 22.8383502 .3783012032
299.5598449 951.0616455 186.5723876 397.5277709 .86820507 44.00375366 1.709669
379.2518005 1000 217.5594482 435.4905395 .876495361 54.44037628 1.980240464
320.2012939 952.359497 153.9257965 422.7092895 1.67620182 47.97565460 0.8688277006
158.3653717 852.4534912 47.87489700 355.3520507 8.93453407 37.38182067 .7688670158
176.2955627 569.5400390 83.67762756 205.5672149 0.6025447249 19.44977951 0.8717411756
187.561370 333.0668945 85.11638641 106.1922149 2.645939588 8.976422309 1.008353114
129.6918029 182.7422180 46.08148193 46.11458969 .660474300 2.82599353 0.235401093
82.11479187 104.1053695 27.62641525 17.68104743 .353839159 .3663313388 0.1397191584
46.01178359 77.31713867 14.89754104 11.63835906 .4817796945 .356047153 0.07885223627
22.02495002 82.86767578 7.10750913 19.03544807 0.01430263929 .02187573 0.0439975149
8.389775276 104.6395645 2.98439431 32.64583206 0.2291289418 .05649924278 0.02661152556
2.365893602 131.1334991 1.257151126 47.42229461 0.2633468508 1.06294012 0.01972310617
1.120920181 155.3114013 0.8734282851 60.36703872 0.2007828205 2.053178548 0.01794732362
2.326957702 173.8136596 1.097137212 70.14244079 0.1033059507 2.787143707 0.01809989847
4.310871124 185.8521118 1.469388484 76.54767608 0.006948404014 3.243654966 0.01825547590
6.055992126 192.1809692 1.754808545 80.05593109 .06808125972 3.462425470 0.01777021214
7.119286060 194.2632446 1.874321699 81.42868041 .117549769 3.507971763 0.01634797267
7.38951110 193.6667175 1.827968597 81.44769287 .1431719660 3.44870162 0.0142950527
7.013817787 191.7185058 1.663965702 80.76303100 .1512621194 3.34082031 0.01191029325
6.207723140 189.4223632 1.437089681 79.86424255 .1478081196 3.223426342 0.009504029527
5.192619800 187.3743896 1.193461775 79.03646850 .1385477036 3.121273994 0.007309813052
4.162725448 185.8503265 0.9675712585 78.41357421 .1283154785 3.043206453 0.005378397181
3.235843896 184.9134826 0.7772817611 78.03219604 .1187746301 2.992010593 0.003835098817
2.460480213 184.481979 0.624942123 77.85871887 .1119224876 2.963182926 0.002580970525
1.871279001 184.4134063 0.5145955085 77.82817077 .1067041084 2.950295686 0.001734958961
1.439273834 184.5809173 0.4347914457 77.88630676 .1039980500 2.947663784 0.001042999327
1.142629384 184.8460693 0.3806292414 77.97097778 .1028010547 2.949069976 0.0005478318780
0.9382990002 185.1383972 0.3429440557 78.05467224 .1024368181 2.952602386 0.0001535210758
0.8097600936 185.3930664 0.3186070322 78.10987091 .1024258434 2.954843521 .0001050531864
0.7060042619 185.5896759 0.2981504201 78.12902832 .1030327603 2.955400943 .0003912076354
0.6318379640 185.727691 0.283498793 78.11642456 .1030555 2.954809665 .0005452912300
0.5630057454 185.8175659 0.2701052129 78.07405090 .1030747815 2.952110290 .0007454417645
0.5020533204 185.875885 0.2578768730 78.01606750 .1033495068 2.949768304 .0009662397205
0.4460949301 185.9196166 0.2486714869 77.94897460 .1022138074 2.946097373 .0009956974536
0.3973163962 185.9350585 0.2391926944 77.86567687 .1023173481 2.942388296 .001175608485
0.3360076546 185.9544830 0.2296139597 77.78553771 .1014816015 2.939135551 .001252871006
0.2921307682 185.9687194 0.2226078510 77.70087432 .1006496772 2.935980796 .001325251534
0.2477987557 185.9980316 0.2154830098 77.62545013 .09992321580 2.934438467 .001389341428
0.2192606925 186.0278167 0.2097690403 77.54953002 .09979207068 2.933074951 .001501359045
